NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Tynan CDP, Texas",246,3.92,125,28.2,246,0,17,18,18.3
"Carthage city, Texas",6702,3.02,434,19.7,6702,306,423,697,10.6
"Uvalde city, Texas",16256,4.05,9001,17.4,16256,903,831,1277,15.2
"Uvalde Estates CDP, Texas",1633,3.18,1211,15.6,1633,0,391,173,27.3
"Azle city, Texas",11607,3.18,566,32.1,11607,556,492,1669,5.9
"Baird city, Texas",1759,3.28,145,19.7,1759,97,88,201,8.9
"Cross Plains town, Texas",1365,4.42,15,34.2,1365,106,43,138,12.7
"Nome city, Texas",392,3.02,19,27.7,392,21,34,72,0
"Green Valley Farms CDP, Texas",471,3.11,352,25,471,0,0,25,36.4
"Grays Prairie village, Texas",320,3.44,5,38.3,320,46,8,49,0
"Freer city, Texas",2734,3.4,1271,17.2,2734,154,82,162,16.3
"Round Top town, Texas",101,2.22,5,42.7,101,6,2,25,0
"Yznaga CDP, Texas",27,-,27,N,27,0,0,0,-
"Shallowater city, Texas",2523,3.28,366,20.7,2523,184,138,412,3.6
"Harker Heights city, Texas",29548,3.45,4694,21.5,29548,2199,2684,4488,11
"Fruitvale city, Texas",447,3.19,22,36.1,447,42,15,27,26.9
"Lakeway city, Texas",14147,2.9,1651,31.5,14147,793,421,3277,2.6
"Uhland city, Texas",1233,3.8,609,32.5,1233,109,68,166,13
"Jefferson city, Texas",2460,3.33,174,22.5,2460,142,109,291,19.4
"Corral City town, Texas",7,3.5,0,N,7,0,2,0,0
"Follett city, Texas",521,3.7,133,19.9,521,49,19,37,10.8
"Bardwell city, Texas",727,3.79,317,29.3,727,69,31,72,13.1
"Rosebud city, Texas",1593,3.82,300,31.7,1593,30,44,98,33.4
"Stockdale city, Texas",1318,3.54,323,22.6,1318,39,55,73,11.9
"Lakeside town (San Patricio County), Texas",330,2.79,57,36.2,330,2,6,45,4.1
"Santa Rosa town, Texas",2843,4.01,1892,18.7,2843,216,68,143,39.4
"Olmito CDP, Texas",1314,3.66,938,23.2,1314,139,63,28,24
"Ratamosa CDP, Texas",253,4.52,117,N,253,0,0,0,100
"White Deer town, Texas",849,3.43,80,19.6,849,7,64,121,0
"Jourdanton city, Texas",4259,3.51,1515,23.1,4259,451,122,383,10.2
"Douglassville town, Texas",251,2.78,0,28.6,251,18,9,29,11.8
"Queen City city, Texas",1734,3.1,50,19.4,1734,155,73,165,3.9
"Adrian city, Texas",116,2.54,16,32,116,2,3,6,7.1
"Hitchcock city, Texas",7633,3.4,1408,26.6,7633,415,590,789,19.5
"Hondo city, Texas",9119,3.87,3989,22.3,9119,766,616,494,9.7
"Encinal city, Texas",862,4.64,682,17.4,862,44,19,26,4.7
